entity_id,interval_dt_tm,dev_username,app_id,api_name,resource_name,response_status_code
bbva,"2016-03-03 16:48:06",BBVA_Angel,app.bbva.ejemplo,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-03 16:37:58",BBVA_Angel,app.bbva.ejemplo,identity-sbx,GET#identity-sbx#v1#/me,404
bbva,"2016-03-03 16:33:56",BBVA_Angel,app.bbva.ejemplo,identity-sbx,GET#identity-sbx#v1#/me,404
bbva,"2016-03-03 16:30:27",BBVA_Angel,app.bbva.ejemplo,identity-sbx,GET#identity-sbx#v1#/me,404
bbva,"2016-03-03 16:29:39",BBVA_Angel,app.bbva.ejemplo,identity-sbx,GET#identity-sbx#v1#/me,404
bbva,"2016-03-03 16:27:44",BBVA_Angel,app.bbva.ejemplo,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 16:25:33",everest,app.bbva.test.clientapi.pro,accounts,GET#accounts#v1#/me/accounts/{accountId}/transactions,206
bbva,"2016-03-03 16:25:16",everest,app.bbva.test.clientapi.pro,accounts,GET#accounts#v1#/me/accounts/{accountId},200
bbva,"2016-03-03 16:25:05",everest,app.bbva.test.clientapi.pro,accounts,GET#accounts#v1#/me/accounts,200
bbva,"2016-03-03 16:24:45",everest,app.bbva.test.clientapi.pro,accounts,GET#accounts#v1#/me/accounts,200
bbva,"2016-03-03 16:24:35",everest,app.bbva.test.clientapi.pro,identity,GET#identity#v1#/me,200
bbva,"2016-03-03 16:06:14",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 15:57:03",iandg,app.bbva.app_test,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-03 15:55:44",iandg,app.bbva.app_test,identity-sbx,GET#identity-sbx#v1#/me,404
bbva,"2016-03-03 15:54:21",iandg,app.bbva.app_test,identity-sbx,GET#identity-sbx#v1#/me,404
bbva,"2016-03-03 15:47:16",iandg,app.bbva.app_test,identity-sbx,GET#identity-sbx#v1#/me,404
bbva,"2016-03-03 15:40:09",victorino,app.bbva.clientapi.qa.sbx,cards-sbx,GET#cards-sbx#v1#/me/cards,200
bbva,"2016-03-03 15:39:24",victorino,app.bbva.clientapi.qa.sbx,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-03 15:39:08",victorino,app.bbva.clientapi.qa.sbx,manager-sbx,PUT#manager-sbx#v1#/data,204
default_entity,"2016-03-03 15:36:35",Developer,app.default.GenoaApiExecutor,GenoaAPI,POST#GenoaAPI#1#/application,201
bbva,"2016-03-03 15:34:27",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-03 15:34:25",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 15:34:18",everest,app.bbva.dev.clientapi,cards-sbx,GET#cards-sbx#v1#/me/cards,200
bbva,"2016-03-03 15:34:15",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-03 15:34:13",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 15:34:06",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-03 15:28:42",iandg,app.bbva.app_test,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 15:28:37",iandg,app.bbva.app_test,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-03 15:15:30",iandg,app.bbva.app_test,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId},404
bbva,"2016-03-03 15:08:34",iandg,app.bbva.app_test,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 15:07:47",iandg,app.bbva.app_test,cards-sbx,GET#cards-sbx#v1#/me/cards,200
bbva,"2016-03-03 15:07:34",iandg,app.bbva.app_test,identity-sbx,GET#identity-sbx#v1#/me,200
default_entity,"2016-03-03 15:03:58",Developer,app.default.GenoaApiExecutor,GenoaAPI,PUT#GenoaAPI#1#/application/{appId},200
default_entity,"2016-03-03 15:02:55",Developer,app.default.GenoaApiExecutor,GenoaAPI,PUT#GenoaAPI#1#/application/{appId},200
bbva,"2016-03-03 15:02:44",everest,app.bbva.clientapi.sbx,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-03 15:02:40",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId}/transactions,200
bbva,"2016-03-03 15:02:28",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId},200
bbva,"2016-03-03 15:02:26",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 15:02:01",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId}/transactions,200
bbva,"2016-03-03 15:01:57",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 15:01:31",iandg,app.bbva.app_test,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 15:01:12",iandg,app.bbva.app_test,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId},200
bbva,"2016-03-03 15:00:12",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId}/transactions,200
bbva,"2016-03-03 15:00:11",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 15:00:08",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId}/transactions,200
bbva,"2016-03-03 15:00:03",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 15:00:02",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 14:49:07",iandg,app.bbva.app_test,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId},200
bbva,"2016-03-03 14:47:19",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId}/transactions,200
bbva,"2016-03-03 14:47:01",iandg,app.bbva.app_test,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId}/transactions,200
bbva,"2016-03-03 14:44:42",iandg,app.bbva.app_test,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId},200
bbva,"2016-03-03 14:44:08",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 14:43:52",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId}/transactions,200
bbva,"2016-03-03 14:43:49",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 14:43:46",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-03 14:41:43",iandg,app.bbva.app_test,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 14:39:33",iandg,app.bbva.app_test,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 14:38:54",iandg,app.bbva.app_test,manager-sbx,GET#manager-sbx#v1#/authorizations,200
default_entity,"2016-03-03 13:09:16",Developer,app.default.GenoaApiExecutor,GenoaAPI,POST#GenoaAPI#1#/application,201
default_entity,"2016-03-03 13:04:32",Developer,app.default.GenoaApiExecutor,GenoaAPI,POST#GenoaAPI#1#/application,201
bbva,"2016-03-03 12:06:41",iandg,app.bbva.app_test,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-03 12:06:07",iandg,app.bbva.app_test,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-03 11:58:08",iandg,app.bbva.app_test,identity-sbx,GET#identity-sbx#v1#/me,404
bbva,"2016-03-03 09:58:41",everest,app.bbva.dev.clientapi,cards-sbx,GET#cards-sbx#v1#/me/cards,200
bbva,"2016-03-03 09:58:40",everest,app.bbva.dev.clientapi,cards-sbx,GET#cards-sbx#v1#/me/cards,200
bbva,"2016-03-03 09:58:37",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
